catalogNumber,scientificName,UTM100X100M,UTM10X10Km,verbatimCoordinates,FECHA,countryCode,stateProvince,verbatimLocality,basisOfRecord,occurrenceID,institutionCode,collectionCode,recordedBy,eventDate,year,month,day,habitat,county,municipality,locality,verbatimElevation,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters
5678,Undaria pinnatifida (Harvey) Suringar,29TNG170938,,29TNG170938,1997-05-06,ES,PO,"Pontevedra: Punta Barreiros, Sanxenxo, Ría de Pontevedra",PreservedSpecimen,SANT:SANT-Algae:5678-A,,,,,,,,,,,,,,,
5625,Colpomenia peregrina (Sauvageau) Hamel,29TNH047144,,29TNH047144,1997-04-23,ES,C,"A Coruña: Punta Corna, A Pobra do Caramiñal, Ría de Arousa",PreservedSpecimen,SANT:SANT-Algae:5625-A,,,,,,,,,,,,,,,
5357,Colpomenia peregrina Sauvaugeau,XXX,29TMH93,29TMH93,1988-08-23,ES,C,"La Coruña: Ensenada de San Francisco, Louro, Muros",PreservedSpecimen,SANT:SANT-Algae:5357-A,,,,,,,,,,,,,,,
3819,Undaria pinnatifida (Harvey) Suringar,29TNH075105,29TNH01,29TNH075105,1991-08-29,ES,PO,"Pontevedra: entre los islotes Xidoiro, ría de Arousa",PreservedSpecimen,SANT:SANT-Algae:3819-A,,,,,,,,,,,,,,,
3808,Colpomenia peregrina (Sauvageau) Hamel,29TNH075105,29TNH01,29TNH075105,1991-08-28,ES,PO,"Pontevedra: entre los islotes Xidoiro, ría de Arousa",PreservedSpecimen,SANT:SANT-Algae:3808-A,,,,,,,,,,,,,,,
3802,Undaria pinnatifida (Harvey) Suringar,29TNH075105,29TNH01,29TNH075105,1991-08-28,ES,PO,"Pontevedra: entre los islotes Xidoiro, ría de Arousa",PreservedSpecimen,SANT:SANT-Algae:3802-A,,,,,,,,,,,,,,,
3801,Undaria pinnatifida (Harvey) Suringar,29TNH075105,29TNH01,29TNH075105,1991-08-28,ES,PO,"Pontevedra: entre los islotes Xidoiro, ría de Arousa",PreservedSpecimen,SANT:SANT-Algae:3801-A,,,,,,,,,,,,,,,
3735,Colpomenia peregrina (Sauvageau) Hamel,29TNH143082,,29TNH143082,1997-01-23,ES,PO,"Pontevedra: Tragove, Vilanova de Arousa, Ría de Arousa",PreservedSpecimen,SANT:SANT-Algae:3735-A,,,,,,,,,,,,,,,
3729,Undaria pinnatifida (Harvey) Suringar,29TNH143082,,29TNH143082,1997-01-23,ES,PO,"Pontevedra: Tragove, Vilanova de Arousa, Ría de Arousa",PreservedSpecimen,SANT:SANT-Algae:3729-A,,,,,,,,,,,,,,,
3689,Colpomenia peregrina (Sauvageau) Hamel,29TNH112128,,29TNH112128,1997-01-10,ES,PO,"Pontevedra: Punta del Puerto, Illa de Arousa, Ría de Arousa",PreservedSpecimen,SANT:SANT-Algae:3689-A,,,,,,,,,,,,,,,
3559,Colpomenia peregrina (Sauvageau) Hamel,29TNG316855,,29TNG316855,1996-11-10,ES,PO,"Pontevedra: Punta Sobreira, Redondela, Ría de Vigo",PreservedSpecimen,SANT:SANT-Algae:3559-A,,,,,,,,,,,,,,,
3349,Colpomenia peregrina (Sauvageau) Hamel,XXX,,,1987-05-15,ES,C,"La Coruña: playa Lago del Norte, ría de Camariñas",PreservedSpecimen,SANT:SANT-Algae:3349-A,,,,,,,,,,,,,,,
3348,Colpomenia peregrina (Sauvageau) Hamel,XXX,29TNG19,29TNG19,1986-02-26,ES,PO,"Pontevedra: punta Fagilda, Sanxenxo",PreservedSpecimen,SANT:SANT-Algae:3348-A,,,,,,,,,,,,,,,
3090,Colpomenia peregrina (Sauvageau) Hamel,29TMH993077,29TMH90,29TMH993077,1990-01-06,ES,C,La Coruña: Aguiño.,PreservedSpecimen,SANT:SANT-Algae:3090-A,,,,,,,,,,,,,,,
3089,Colpomenia peregrina (Sauvageau) Hamel,XXX,,,1989-07-08,ES,PO,"Pontevedra: Playa de Lariño, Isla de Ons.",PreservedSpecimen,SANT:SANT-Algae:3089-A,,,,,,,,,,,,,,,
2634,Colpomenia peregrina (Sauvageau) Hamel,29TNJ535031,29TNJ50,29TNJ535031,1989-09-15,ES,C,La Coruña: Bahía de La Coruña (Isla Portelo),PreservedSpecimen,SANT:SANT-Algae:2634-A,,,,,,,,,,,,,,,
2573,Colpomenia peregrina (Sauvageau) Hamel,29TNJ528035,29TNJ50,29TNJ528035,1990-08-14,ES,C,La Coruña: Ría de La Coruña (La Xunqueira).,PreservedSpecimen,SANT:SANT-Algae:2573-A,,,,,,,,,,,,,,,
1900,Colpomenia peregrina (Sauvageau) Hamel,29TNJ497019,29TNJ40,29TNJ497019,1984-09-25,ES,C,La Coruña: Bahía de La Coruña (Castillo de San Antón).,PreservedSpecimen,SANT:SANT-Algae:1900-A,,,,,,,,,,,,,,,
513,Colpomenia peregrina (Sauvageau) Hamel,29TNJ582128,29TNJ51,29TNJ582128,1988-04-16,ES,C,"La Coruña: Ensenada de Laxe, ría de Ferrol.",PreservedSpecimen,SANT:SANT-Algae:513-A,,,,,,,,,,,,,,,
142,Colpomenia peregrina (Sauvageau) Hamel,XXX,,,1954-12-14,ES,PO,Villagarcí de Arosa,PreservedSpecimen,SANT:SANT-Algae:142-A,,,,,,,,,,,,,,,
